Filename,Prediction_months
4360.png,147.04753
4361.png,154.31929
4362.png,124.80988
4363.png,131.09738
4364.png,135.68228
4365.png,132.77406
4366.png,152.40067
4367.png,128.65842
4368.png,143.94968
4369.png,163.89331
4370.png,138.68918
4371.png,124.69232
4372.png,127.71249
4373.png,153.84547
4374.png,155.4371
4375.png,140.87357
4376.png,157.14182
4377.png,131.05815
4378.png,126.43524
4379.png,148.08266
4380.png,147.17361
4381.png,124.69232
4382.png,135.76091
4383.png,157.3655
4384.png,139.77525
4385.png,132.83704
4386.png,124.69232
4387.png,139.75513
4388.png,124.69232
4389.png,124.69232
4390.png,150.61058
4391.png,152.76834
4392.png,142.48314
4393.png,135.24164
4394.png,138.86728
4395.png,142.28247
4396.png,124.69232
4397.png,160.88078
4398.png,136.15363
4399.png,152.62311
4400.png,140.1577
4401.png,124.69232
4402.png,127.38654
4403.png,149.90704
4404.png,135.49194
4405.png,153.62828
4406.png,144.01132
4407.png,132.03941
4408.png,136.28203
4409.png,127.21876
4410.png,131.42343
4411.png,146.06451
4412.png,161.0208
4413.png,163.41183
4414.png,141.37057
4415.png,141.42587
4416.png,156.23088
4417.png,152.74768
4418.png,149.75134
4419.png,135.90244
4420.png,149.1396
4421.png,147.43192
4422.png,160.19702
4423.png,135.8211
4424.png,146.56601
4425.png,166.22813
4426.png,152.20502
4427.png,166.72818
4428.png,152.77481
4429.png,129.03189
4430.png,141.41403
4431.png,143.75906
4432.png,132.65538
4433.png,157.79243
4434.png,137.31197
4435.png,128.38199
4436.png,159.24086
4437.png,129.5075
4438.png,141.31364
4439.png,154.97203
4440.png,132.43845
4441.png,149.10333
4442.png,146.88821
4443.png,124.69232
4444.png,148.40726
4445.png,142.69261
4446.png,125.381386
4447.png,170.30646
4448.png,139.20485
4449.png,150.9783
4450.png,139.30383
4451.png,139.24275
4452.png,138.12236
4453.png,133.94891
4454.png,154.73326
4455.png,124.69232
4456.png,143.2906
4457.png,124.69232
4458.png,133.16458
4459.png,163.7864
4460.png,139.64917
4461.png,160.0013
4462.png,140.89056
4463.png,135.86853
4464.png,124.69232
4465.png,142.1624
4466.png,138.46173
4467.png,135.11334
4468.png,124.69232
4469.png,143.77155
4470.png,164.36835
4471.png,125.60027
4472.png,139.68689
4473.png,160.22644
4474.png,161.6271
4475.png,131.20076
4476.png,124.69232
4477.png,145.10425
4478.png,135.89009
4479.png,135.05191
4480.png,142.16661
4481.png,144.58372
4482.png,151.44424
4483.png,124.69232
4484.png,141.50735
4485.png,144.14944
4486.png,152.46127
4487.png,133.54095
4488.png,157.61009
4489.png,153.4021
4490.png,125.60853
4491.png,133.88673
4492.png,142.03998
4493.png,185.78651
4494.png,147.32419
4495.png,143.7736
4496.png,165.83337
4497.png,163.2125
4498.png,129.48807
4499.png,128.66066
4500.png,127.56895
4501.png,145.43861
4502.png,178.55115
4503.png,145.06322
4504.png,124.69232
4505.png,124.69232
4506.png,144.55109
4507.png,141.50938
4508.png,144.76834
4509.png,127.12374
4510.png,137.54266
4511.png,160.14081
4512.png,152.65533
4513.png,151.56868
4514.png,141.79608
4515.png,150.36325
4516.png,142.55963
4517.png,160.04947
4518.png,135.76685
4519.png,155.4956
4520.png,169.9315
4521.png,165.36475
4522.png,124.69232
4523.png,145.39084
4524.png,124.69232
4525.png,133.31796
4526.png,131.24692
4527.png,136.87047
4528.png,163.96545
4529.png,145.40509
4530.png,150.33446
4531.png,124.69232
4532.png,159.78322
4533.png,124.69232
4534.png,151.7791
4535.png,149.33502
4536.png,124.69232
4537.png,135.47229
4538.png,124.69232
4539.png,124.69232
4540.png,124.69232
4541.png,139.1383
4542.png,139.42355
4543.png,124.69232
4544.png,131.31496
4545.png,150.91537
4546.png,124.69232
4547.png,150.1391
4548.png,149.10677
4549.png,176.4709
4550.png,167.90048
4551.png,151.8609
4552.png,128.4265
4553.png,130.499
4554.png,144.95663
4555.png,143.61606
4556.png,159.36086
4557.png,156.54385
4558.png,148.72438
4559.png,156.29465
